ID,OriginalID,Trial name,Author,pdf,Year of publication,Study_type,Journal ,# countries,Country of publications,Continent,Study_pop,CVD_Hx_%,Median_Mean_BP,Median_Mean_LDL,Median_follow-up_months,Mean_or_Median_age_all,Aspirin_use_usual_care_%,Mean age (SD),Male_%,MACE,MI,Stroke ,Mortality ,Moderate_High_Intensity,Moderate_High_Intensity2,Low_intensity_statins,Comb_Statin,3 or more combination,4 or more combination,4 or more combination2,Diuretic,Diuretic2,Aspirin,Aspirin2,RAAS2,RAAS,BetaBlocker,CCB,Comb1_All,Polypills ,Placebo or standard of care,Primary prevention ,Secondary prevention ,Relative_risk_mortality,Mortality_LCI,Mortality_UCI,Sample_size_all,Sample_size_polypill,Sample_Size_control,Polypill_events,Polypill_No_events,Control_Events,Control_No_events,Primary_outcome_events,Relative_Risk_Primary_CVD_outcome,Primary_CVD_outcome_LCI,Primary_CVD_outcome_UCI,CVD_death_RR,CVD_death_LCI,CVD_death_UCI,Adherence_Last_follow_up_Polypill_%,Adherence_Last_follow_up_usual_care_%,Adherence_RR,Adherence_RR_LCI,Adherence_RR_UCI,Decrease_Blood_pressure_SBP,Decrease_Blood_pressure_DBP,Decrease_LDL,Adherence_Last_follow_up_Polypill_%_from_c,Adherence_Last_follow_up_usual_care_%_from_c,Adherence_RR_from_c,Adherence_RR_LCI_from_c,Adherence_RR_UCI_from_c,Decrease_Blood_pressure_SBP_delta,Decrease_Blood_pressure_SBP_Polypill,Decrease_Blood_pressure_SBP_SOC,Decrease_Blood_pressure_DBP_delta,Decrease_Blood_pressure_DBP_Polypill,Decrease_Blood_pressure_DBP_SOC,Decrease_LDL_delta,Decrease_LDL_polypill,Decrease_LDL_polypill_SOC,Time_to_continous_outcome_mo
9,1,SMAART,Fred Stephen Sarfo et al.,,2023,RCT,The Lancet,1,Ghana,Africa,individuals (aged ³18 years) who had an ischaemic stroke within the previous 2 months,100,161/92,96,12,58,87,58.5 (10.7),49,Yes,No,No,Yes,Low intensity statin in polypill,NO,YES,YES,YES,Four or more classes of meds in polypill,YES,Diuretic in polypill,YES,Apirin in polypill,YES,Contains a RAAS inhibitor,YES,YES,NO,Asprin_ACEi_BB_HCTZ_Statin,"100 mg of aspirin, 20 mg of simvastatin, 12á5 mg hydrochlorothiazide, 5 mg of ramipril, and 50 mg of atenolol",No polypill,Primary prevention,Yes,,,,148,74,74,8,66,2,72,"Common CIMT, mm	",0.67,0.49,0.91,,,,,,,,1.35,3.32,6.74,12.99,,,0.58,-0.19,1.35,3.2,-17.9,-20.7,-6.74,-12,-5.7,-12.99,-18.4,-4.7,12
7,2,Bacus study,Chvez Fernndez et al,,2023,Cohort,PLOS one,1,Mexico,North America,adult patients of both sexes attending the Coronary Unit from January 2013 to January 2019,100,133/76,132,97,64,40.7,63.9 (12.4),64,No,No,No,No,Low intensity statin in polypill,NO,YES,YES,YES,Three classes of meds in polypill,NO,No diuretic in polypill,NO ,Apirin in polypill,YES,Contains a RAAS inhibitor,YES,NO,NO,Asprin_ARB_Statin,"acetylsalicylic acid 100 mg, simvastatin 40 mg and ramipril 5 or 10 mg",Placebo,Primary prevention,Yes,,,,479,479,0,,,,,"The effectiveness of the CV polypill which was assessed through the difference between baseline and the last follow-up visit in the mean value of the lipid profile, lipid ratios, blood pressure, and vascular age",,,0.96,,,,,,,,,,,,,,,,,,-14,,,-4.2,,,-49.5,,96
5,3,SECURE,Castellano et al.,,2022,RCT,NEJM,7,"Spain, Czech Republic, France, Germany, Hungary, Poland, Italy ",Europe,"hx type MI in the last 6 month, 75 y older or 65 with CVD",100,129,89,36,76,98.7,75.8 (6.7),69,Yes ,Yes,Yes,Yes ,Moderate or High intensity statin in polypill,YES,NO,YES,YES,Three classes of meds in polypill,NO,No diuretic in polypill,NO ,Apirin in polypill,YES,Contains a RAAS inhibitor,YES,NO,NO,Asprin_ACEi_Statin,"Aspirin (100 mg), ramipril (2.5, 5, or 10 mg), and atorvastatin (20 or 40 mg)",Usual care,Secondary prevention,Yes,0.97,0.75,1.25,2499,1237,1229,118,1119,156,1073,"cardiovascular death, nonfatal type 1 myocardial infarction, nonfatal ischemic stroke, or urgent revascularization",0.76,0.6,0.96,0.67,0.47,0.97,74,63,1.17,1.1,1.25,,,0.5,74,63,1.17,1.1,1.25,-0.3,6.1,6.4,-0.1,,,-0.5,-21.5,-22,24
20,4,VULCANO,Mostaza el al,,2022,RCT,BMC Cardiovascular Disorders,3,"Spain, Portugal, Mexico",multiple,men and women aged 18 years or older at high or very high risk of CVD,0 (excluded),133.8,96,4,65,53,65.4 (8.6),60,No,Np,No,No,Moderate or High intensity statin in polypill,YES,NO,YES,YES,Three classes of meds in polypill,NO,No diuretic in polypill,NO ,Apirin in polypill,YES,Contains a RAAS inhibitor,YES,NO,NO,Asprin_ACEi_Statin,"100 mg of aspirin with either 20 or 40 mg atorvastatin and either 2.5, 5.0, or 10 mg ramipril",Usual care,Primary prevention,Yes,,,,439,218,221,,,,,comparison of the mean change in LDL-c and SBP values after 16 weeks of treatment between treatment groups,,,,,,,,,,,,1.43,0.66,8.48,,,,,,1.43,1.14,-0.3,,,,-8.48,-11.5,-3.01,4
19,5,PolyIran-Liver Trial,Merat et al.,,2022,RCT,European Heart Journal,1,Iran,Asia,individuals over 50 with and without presumed non-alcoholic steatohepatitis (pNASH),,,,60,,13.6,59,51,Yes,Yes,Yes,Yes,Low intensity statin in polypill,NO,YES,YES,YES,Four or more classes of meds in polypill,YES,Diuretic in polypill,YES,Apirin in polypill,YES,Contains a RAAS inhibitor,YES,NO,NO,Asprin_ARB_HCTZ_Statin,"81 mg aspirin, 12.5 mg hydrochlorothiazide, 20 mg atorvastatin, and 40 mg valsartan",Usual care,Primary prevention,Yes,0.5,0.32,0.8,1508,787,721,,,,,,0.57,0.49,0.91,,,,80.4,,0.46,0.3,0.71,5.3,0.4,59.4,80.4,,,,,-5.2,-10.6,-5.4,-0.4,-5.4,-5,-59.4,-63,-3.6,30
23,6,Santiago de Compostela study,Portela-Romeroa et al.,,2021,Cohort,Revista Clnica Espaola,1,Spain,Europe,"All patients in the healthcare area of Santiago de Compostela, Spain who, as of December 31, 2019, had an active prescription for the CV-polypill (CNIC-Ferrer) since January 16, 2015 ",2.1,142.7/79.2,99,55,72,68.5,71.5 ± 11.5,61,No,No,No,No,Low intensity statin in polypill,NO,YES,YES,YES,Three classes of meds in polypill,NO,No diuretic in polypill,NO ,Apirin in polypill,YES,Contains a RAAS inhibitor,YES,NO,NO,Asprin_ARB_Statin,CV-polypill,,Secondary prevention,No,,,,547,547,0,,,,,,,,,,,,,,,,,3.7,0.4,10.6,,,,,,-3.7,-3.7,,-0.4,-0.4,,-10.6,-10.6,,55
31,7,TIPS3,Yusuf et al_a.,,2021,RCT,NEJM,9,9 countries,multiple,Men 50 years of age or older and women 55 years of age or older who did not have known cardiovascular disease but who had an elevated INTERHEART Risk Score,0,145/84,121,55,64,0.1,63.8 (6.5),46,Yes,Yes,Yes,Yes,Low intensity statin in polypill,NO,YES,YES,YES,Three classes of meds in polypill,NO,Diuretic in polypill,YES,No aspirin in polypill,NO,Contains a RAAS inhibitor,YES,YES,NO,ACEi_BB_HCTZ_Statin,"40 mg of simvastatin, 100 mg of atenolol, 25 mg of hydrochlorothiazide, and 10 mg of ramipril",Placebo,Primary prevention,No,0.9,0.72,1.13,5713,2861,2852,138,2723,179,2673,"Death from cardiovascular causes, myocardial infarction, stroke, heart failure, resuscitated cardiac arrest, or arterial revascularization",0.79,0.63,1,0.82,0.61,1.09,67.7,69.4,,,,5.8,3.2,19,67.7,69.4,,,,-5.8,-5.8,,-3.2,-3.2,,-19,-19,,55
32,8,TIPS3,Yusuf et al_b.,,2021,RCT,NEJM,9,9 countries,multiple,Men 50 years of age or older and women 55 years of age or older who did not have known cardiovascular disease but who had an elevated INTERHEART Risk Score,0,144/84,121,55,64,0.1,63.8 (6.5),46,Yes,Yes,Yes,Yes,Low intensity statin in polypill,NO,YES,YES,YES,Three classes of meds in polypill,NO,Diuretic in polypill,YES,Apirin in polypill,YES,Contains a RAAS inhibitor,YES,YES,NO,Aspirin_ACEi_BB_HCTZ_Statin,"40 mg of simvastatin, 100 mg of atenolol, 25 mg of hydrochlorothiazide, and 10 mg of ramipril",Placebo,Primary prevention,No,0.8,0.59,1.08,,,,59,1370,83,1338,"Death from cardiovascular causes, myocardial infarction, stroke, heart failure, resuscitated cardiac arrest, or arterial revascularization",0.69,0.5,0.97,0.82,0.61,1.09,,,,,,5.8,3.2,19,67.7,69.4,,,,-5.8,-5.8,,-3.2,-3.2,,-19,-19,,55
6,9,Cohort study,Castello et al.,,2020,Cohort,Cerebrovascular Diseases Extra,1,Spain,Europe,acute ischaemic stroke patients who were prescribed a polypill versus conventional treatment in secondary prevention,100,148.5/83,106,3,70,9.6,69.7,61,No,No,Yes,No,Moderate or High intensity statin in polypill,YES,NO,YES,YES,Three classes of meds in polypill,NO,No diuretic in polypill,NO ,Apirin in polypill,YES,Contains a RAAS inhibitor,YES,NO,NO,Asprin_ACEi_Statin,"aspirin 100 mg, atorvastatin 20/40 mg, ramipril 2.5/5/10 mg",conventional treatment,Secondary prevention,Yes,,,,104,54,50,0,54,1,49,"stroke recurrence, reduction in BP, reduction in LDL cholesterol",,,,,,,93,88,,,,5,0,7.3,93,88,,,,-7.7,-18.9,-11.2,-0.6,-5.1,-4.5,-7.3,-29.6,-21.9,3
10,10,CNIC-polypill study,Gmez-çlvarez et al.,,2020,Cohort,Int J Cardiol Heart Vasc,1,Mexico,North America,high risk of or with pre-existing CVD participating in the SORS,57.6,,130,12,57,,57.3 (14.3),53,No,No,No,No,Low intensity statin in polypill,NO,YES,YES,YES,Three classes of meds in polypill,NO,No diuretic in polypill,NO ,Apirin in polypill,YES,Contains a RAAS inhibitor,YES,NO,NO,Asprin_ACEi_Statin,"acetylsalicylic acid 100 mg, ramipril 5 or 10 mg, and simvastatin 40 mg",,Secondary prevention,No,,,,533,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18,-18,,12
