ID,OriginalID,Trial name,Author,Year of publication ,Study_type2,Study_type,Journal ,# countries,Country of publications,Continent,Study_pop,CVD_Hx_%,Median_Mean_BP,LDL_mmol/L,Median_Mean_LDL,Median_follow-up_months,Mean_or_Median_age_all,Aspirin_use_usual_care_%,Mean age (SD),Male_%,White_%,Black_%,Chinese_%,Asian_%,Hispanic _%,Turkey,others_%,Missing Data,MACE,MI,Stroke ,Mortality ,Moderate_High_Intensity,Comb_Statin,More than 2 combination,More than 3 combination,Diuretic,Aspirin,RAAS,Comb1_All,Polypills ,Placebo or standard of care,Primary prevention ,Secondary prevention ,Median_time_from_MI_Randomization_days,Relative_risk_mortality,Mortality_LCI,Mortality_UCI,Sample_size_all,Sample_size_polypill,Sample_Size_control,Polypill_events,Polypill_No_events,Control_Events,Control_No_events,Primary_outcome_events,Relative_Risk_Primary_CVD_outcome,Primary_CVD_outcome_LCI,Primary_CVD_outcome_UCI,CVD_death_RR,CVD_death_LCI,CVD_death_UCI,Adherence_Last_follow_up_Polypill_%,Adherence_Last_follow_up_usual_care_%,Adherence_RR,Adherence_RR_LCI,Adherence_RR_UCI,Decrease_Blood_pressure_SBP,Decrease_Blood_pressure_DBP,Decrease_LDL_mmol/L,Decrease_LDL,link
1,1,SMAART,Fred Stephen Sarfo et al.,2023,RCT,RCT,The Lancet,1,Ghana,Africa,individuals (aged ³18 years) who had an ischaemic stroke within the previous 2 months,100,161/92,,96,12,58,87,58.5 (10.7),49,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,Yes,NO,YES,YES,YES,YES,YES,YES,Asprin_ACEi_BB_HCTZ_Statin,"100 mg of aspirin, 20 mg of simvastatin, 12á5 mg hydrochlorothiazide, 5 mg of ramipril, and 50 mg of atenolol",No polypill,Yes,Yes,"(not sure median, just within the past two months)",NA,NA,NA,148,74,74,8,66,2,72,"Common CIMT, mm	",0.67,0.49,0.91,NA,NA,NA,,,,,1.35,3.32,6.74,,12.99,https://www-clinicalkey-com.ezaccess.libraries.psu.edu/#!/content/playContent/1-s2.0-S2214109X23003479?returnurl=https:%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2214109X23003479%3Fshowall%3Dtrue&referrer=
2,2,Bacus study,Ch‡vez Fern‡ndez et al,2023,Cohort,Cohort,PLOS one,1,Mexico,North America,adult patients of both sexes attending the Coronary Unit from January 2013 to January 2019,100,133/76,,132,97,64,40.7,63.9 (12.4),64,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,NO,YES,YES,NO,NO,YES,YES,Asprin_ARB_Statin,"acetylsalicylic acid 100 mg, simvastatin 40 mg and ramipril 5 or 10 mg",Placebo,Yes,Yes,NA,NA,NA,NA,479,479,0,NA,NA,NA,NA,"The effectiveness of the CV polypill which was assessed through the difference between baseline and the last follow-up visit in the mean value of the lipid profile, lipid ratios, blood pressure, and vascular age",NA,NA,0.96,NA,NA,NA,NA,NA,NA,NA,NA,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10456133/
3,3,SECURE,Castellano et al.,2022,RCT,RCT,NEJM,7,"Spain, Czech Republic, France, Germany, Hungary, Poland, Italy ",Europe,"hx type MI in the last 6 month, 75 y older or 65 with CVD",100,129,,89,36,76,98.7,75.8 (6.7),69,98.6,0.1,NA,NA,NA,NA,0.7,0.6,Yes ,Yes,Yes,Yes ,YES,YES,YES,NO,NO,YES,YES,Asprin_ACEi_Statin,"Aspirin (100 mg), ramipril (2.5, 5, or 10 mg), and atorvastatin (20 or 40 mg)",Usual care,No,Yes,8,0.97,0.75,1.25,2499,1237,1229,118,1119,156,1073,"cardiovascular death, nonfatal type 1 myocardial infarction, nonfatal ischemic stroke, or urgent revascularization",0.76,0.6,0.96,0.67,0.47,0.97,74,63,1.17,1.1,1.25,0.3,0.1,,0.5,"https://www.nejm.org/doi/full/10.1056/NEJMoa2208275#:~:text=In%20the%20SECURE%20trial%2C%20a,of%20medications%20on%20the%20basis"
4,4,VULCANO,Mostaza el al,2022,RCT,RCT,BMC Cardiovascular Disorders,3,"Spain, Portugal, Mexico",multiple,men and women aged 18 years or older at high or very high risk of CVD,0 (excluded),133.8,,96,4,65,53,65.4 (8.6),60,NA,NA,NA,NA,NA,NA,NA,NA,No,Np,No,No,YES,YES,YES,NO,NO,YES,YES,Asprin_ACEi_Statin,"100 mg of aspirin with either 20 or 40 mg atorvastatin and either 2.5, 5.0, or 10 mg ramipril",Usual care,Yes,Yes,NA (excluded with prior MI),NA,NA,NA,439,218,221,NA,NA,NA,NA,comparison of the mean change in LDL-c and SBP values after 16 weeks of treatment between treatment groups,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,0.66,,8.48,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9773517/
5,5,PolyIran-Liver Trial,Merat et al.,2022,RCT,RCT,European Heart Journal,1,Iran,Asia,individuals over 50 with and without presumed non-alcoholic steatohepatitis (pNASH),,,,,60,,13.6,59,51,NA,NA,NA,NA,NA,NA,100 (Iran),NA,Yes,Yes,Yes,Yes,NO,YES,YES,YES,YES,YES,YES,Asprin_ARB_HCTZ_Statin,"81 mg aspirin, 12.5 mg hydrochlorothiazide, 20 mg atorvastatin, and 40 mg valsartan",Usual care,Yes,Yes,,0.5,0.32,0.8,1508,787,721,NA,NA,NA,NA,NA,0.57,0.49,0.91,NA,NA,NA,80.4,NA,0.46,0.3,0.71,5.3,0.4,,59.4,https://academic-oup-com.ezaccess.libraries.psu.edu/eurheartj/article/43/21/2023/6511856
6,6,Santiago de Compostela study,Portela-Romeroa et al.,2021,Cohort,Cohort,Revista Cl’nica Espa–ola,1,Spain,Europe,"All patients in the healthcare area of Santiago de Compostela, Spain who, as of December 31, 2019, had an active prescription for the CV-polypill (CNIC-Ferrer) since January 16, 2015 ",2.1,142.7/79.2,,99,55,72,68.5,71.5 ± 11.5,61,100 (Spain),NA,NA,NA,NA,NA,NA,NA,No,No,No,No,NO,YES,YES,NO,NO,YES,YES,Asprin_ARB_Statin,CV-polypill,NA,No,No,NA,NA,NA,NA,547,547,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,0.4,,10.6,https://pdf.sciencedirectassets.com/286282/1-s2.0-S2254887421X00112/1-s2.0-S2254887421001636/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEAAaCXVzLWVhc3QtMSJHMEUCIQCBL1jvN1xKtDvehvbfF8XPD%2BpLGi7jz3SuO%2FzwNGpUzwIgXsGIW5W1NucYofaGQWsUnCpZKAScgTXdXpK1DY9AA3AqswUIaBAFGgwwNTkwMDM1NDY4NjUiDIlFnxuLXbh6Wjm%2BhSqQBcEUt4hyb9GCa7Qud4nFXl2XBoVjHElsqtr0N2%2BcocPHnmVf7ZVEjjme7VNHfUVVrihNqknUdnnTuabnF%2F00v916SLl%2FhFoo6Bvl6CUzDkdWBP%2Fc5UaTjg29elL2GRB9S3FIiThcBhSv0rHADS7XNc0XwkjIrwdzT%2BpBDrOGzs%2Bp08QzHcojC9XL2utYa%2FWfB7TEq2A2qqtFBKaPWcVA3PJcVigpChKKIQne3VEN0046OlxmgBilJtZ%2BZwTUwS7wxf5wf50eZpGH5PrTPid87SEN%2BtJ1Jre9fKqwBZVI5rYNdBX6529Ar5d4naIhcJLMRxiN%2FMGO4BcoQJEWV3Hdj1Ew3G7fI3oeWT6s%2BcrtMr%2FocU8bEHletG7U1kSKzj9TIWS2Dm3LaASEP321LXf9eDzZukNZXJ9k%2B4KQ2YJ%2BwzUpMFhOMamNJyzzWIKYoPl%2Bnft%2FwyJsMry9vk5m7%2FEN9lTO9zi%2FNbmuxsOWoHlsiJN5umb2u%2FYxnWYJFcHH5PEK465CVcCX60nF4ysKidzpn1ZwvM35heK1GrCxGwY1FQgHXSld4oEAtzal7%2FcF4sBcpy4WNjCoG1Yy%2Fqz4DkoCh9ShQsB%2FSGrECytgM2sJXoUHxk6tVeYA%2B1z73vaFoMYK9qwkBYNiyLQMIs7gfX8q%2BqKbzWECHLmprUnj5xZbUDkXLxud2lqvLxYq4fjfKaDMkk7l9WvnDwXkGQOzzNEoffjRDIRyMdftIth3Ax8O1pSXOJYtzSuthDEhFzET4MOkEYjcjytGbVfOVm0PP3qme73bsbU56TQpoNEWzu6VFYblAIx259mTPZduJlrQjtAy83QVQvFAvux0Ro052st6WHZLpBRmcLscjEgfzgmM08wWMLS9uasGOrEBGOxrqfruuFd0DR517Vz3eXlWxIxdfj7yNcBidI9cqzldl1NOruN9GkBkClY2hAaXzznv4O2MBDevUF1%2B9OTKQOtwKZ2jInIc6NsGOD3N4fSn92UnURYbkKKNk%2Byc9Sh63kQ4v8VfFkfPvTfnRwjxQd%2FN1S1%2BPT7d9N9Fyrpe2W4G9%2Bi2cqe7%2BM%2FiMKOQsw8sQ4VFCbuGmzyaItlbu66PYs3oB7GzJ6BZ%2B4QHJsEFNAWR&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231204T235025Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY5KMBDCCS%2F20231204%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=4a5b8558a537e4a40ae512a4891416231cbfad6e29a0faf348d35c90eab71d21&hash=8636d298a4642a894f38ac3f13ad75aad77a38b1d3337623b9cca254de6c65b9&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S2254887421001636&tid=spdf-9544e5c7-eb76-4dbd-9d10-3f6f61621cc8&sid=8c691a676f597643d818e22-5434ce3668b0gxrqa&type=client&ua=131c585c515305545a&rr=8307f395d9542027&cc=us
7,7,TIPS3,Yusuf et al.,2021,RCT,RCT,NEJM,9,9 countries,multiple,Men 50 years of age or older and women 55 years of age or older who did not have known cardiovascular disease but who had an elevated INTERHEART Risk Score,0,145/84,,121,55,64,0.1,63.8 (6.5),46,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,NO,YES,YES,NO,YES,NO,NO,ACEi_BB_HCTZ_Statin,"40 mg of simvastatin, 100 mg of atenolol, 25 mg of hydrochlorothiazide, and 10 mg of ramipril",Placebo,Yes,No,NA,0.9,0.72,1.13,5713,2861,2852,138,2723,179,2673,"Death from cardiovascular causes, myocardial infarction, stroke, heart failure, resuscitated cardiac arrest, or arterial revascularization",0.79,0.63,1,0.82,0.61,1.09,67.7,69.4,NA,NA,NA,5.8,3.2,,19,https://www.nejm.org/doi/full/10.1056/NEJMoa2028220
8,8,TIPS3,Yusuf et al.,2021,RCT,RCT,NEJM,9,9 countries,multiple,Men 50 years of age or older and women 55 years of age or older who did not have known cardiovascular disease but who had an elevated INTERHEART Risk Score,0,144/84,,121,55,64,0.1,63.8 (6.5),46,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,NO,YES,YES,NO,YES,YES,NO,Aspirin_ACEi_BB_HCTZ_Statin,"40 mg of simvastatin, 100 mg of atenolol, 25 mg of hydrochlorothiazide, and 10 mg of ramipril",Placebo,Yes,No,NA,0.8,0.59,1.08,2850,1429,1421,59,1370,83,1338,"Death from cardiovascular causes, myocardial infarction, stroke, heart failure, resuscitated cardiac arrest, or arterial revascularization",0.69,0.5,0.97,0.82,0.61,1.09,NA,NA,NA,NA,NA,5.8,3.2,,19,https://www.nejm.org/doi/full/10.1056/NEJMoa2028220
9,9,Cohort study,Castello et al.,2020,Cohort,Cohort,Cerebrovascular Diseases Extra,1,Spain,Europe,acute ischaemic stroke patients who were prescribed a polypill versus conventional treatment in secondary prevention,100,148.5/83,,106,3,70,9.6,69.7,61,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,YES,YES,YES,NO,NO,YES,YES,Asprin_ACEi_Statin,"aspirin 100 mg, atorvastatin 20/40 mg, ramipril 2.5/5/10 mg",conventional treatment,No,Yes,NA,NA,NA,NA,104,54,50,0,54,1,49,"stroke recurrence, reduction in BP, reduction in LDL cholesterol",NA,NA,NA,NA,NA,NA,93,88,NA,NA,NA,5,0,,7.3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7747048/
10,10,CNIC-polypill study,G—mez-çlvarez et al.,2020,Cohort,Cohort,Int J Cardiol Heart Vasc,1,Mexico,North America,high risk of or with pre-existing CVD participating in the SORS,57.6,NA,,130,12,57,NA,57.3 (14.3),53,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,NO,YES,YES,NO,NO,YES,YES,Asprin_ACEi_Statin,"acetylsalicylic acid 100 mg, ramipril 5 or 10 mg, and simvastatin 40 mg",NA,No,No,NA,NA,NA,NA,533,533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7452496/
